ts,open,high,low,close,volume
1741924800000,81861.5,82425.0,81730.9,82124.5,17419.406
1741939200000,82124.6,83330.0,82121.2,83202.8,30208.907
1741953600000,83202.9,85270.2,82594.3,84692.2,97510.76
1741968000000,84692.1,84908.8,83908.3,84508.1,40100.559
1741982400000,84504.8,84507.8,83654.7,83939.8,21196.158
1741996800000,83939.9,84625.0,83915.4,84439.9,13976.156
1742011200000,84440.0,84520.0,83752.9,83797.0,12901.624
1742025600000,83797.1,84143.9,83564.5,84054.8,18511.016
1742040000000,84054.7,84442.0,83961.6,84295.8,16141.216
1742054400000,84295.7,84453.4,84060.0,84261.2,9720.647
1742068800000,84261.2,84433.1,84191.2,84302.9,5424.311
1742083200000,84303.0,84357.1,83691.3,84295.9,13994.399
1742097600000,84296.0,84382.2,83924.4,84242.0,10835.962
